STATE,STATENAME,ST_CASE,VEH_NO,TRAILER_NO,VehicleDescriptor,VINDecodedOn,VINDecodeError,VehicleTypeId,VehicleType,ManufacturerFullNameId,ManufacturerFullName,MakeId,Make,ModelId,Model,ModelYear,Series,Trim,PlantCountryId,PlantCountry,PlantState,PlantCity,PlantCompanyName,Note,BodyClassId,BodyClass,GrossVehicleWeightRatingFromId,GrossVehicleWeightRatingFrom,GrossVehicleWeightRatingToId,GrossVehicleWeightRatingTo,TrailerBodyTypeId,TrailerBodyType,TrailerTypeConnectionId,TrailerTypeConnection,TrailerLengthFT,OtherTrailerInfo,AxlesCount,AxleConfigurationId,AxleConfiguration
12,Florida,121850,2,1,1TKL0313*DW******,2021-09-08 14:59:05,0,6,TRAILER,13498,TRAIL KING INDUSTRIES,3251,TRAIL KING INDUSTRIES,7386,TRAIL KING INDUSTRIES,2013,,,6,UNITED STATES (USA),NORTH DAKOTA,WEST FARGO,,Configuration: Position not used at this time.,61,Trailer,,,,,,,,,31.000,"Trailer Length: Inverted Hoist= Add 2FT( but leave the unit part # as is)   Extend Apron = Add 1 Ft( if apron 14"" extended floor plate)",3,,
12,Florida,121879,1,1,4D6EB242*LC******,2021-09-08 14:59:05,0,6,TRAILER,4540,"CARGO CRAFT ,INC.",6806,"CARGO CRAFT ,INC.",18250,"CARGO CRAFT ,INC.",2020,,,6,UNITED STATES (USA),GEORGIA,CORSICANA,,,61,Trailer,,,,,5,Enclosed Trailer,14,Bumper Pull,24.000,,2,,
12,Florida,121892,1,1,1R9PD252*6M356***,2021-09-08 14:59:05,0,6,TRAILER,3016,ROLLS RITE TRAILERS,6238,ROLLS RITE TRAILERS INC,17305,Rolls Rite Trailers Inc,2006,,,6,UNITED STATES (USA),FLORIDA,MARIANNA,,,61,Trailer,,,,,125,Dovetail,2,Pintle Hitch/Hook,25.000,,2,,
12,Florida,121901,2,1,5C2BR28C*JM******,2021-09-08 14:59:05,0,6,TRAILER,15683,"CLEMENT INDUSTRIES, INC.",5405,CLEMENT INDUSTRIES,13961,Clement,2018,,,6,UNITED STATES (USA),LOUISIANA,MINDEN,"Clement Industries, Inc",,61,Trailer,,,,,179,Round Floor,4,Straight Semi/Semi Trailer,28.000,Frameless Semi End Dump,3,,
12,Florida,121903,1,1,5MAMN532*6C******,2021-09-08 14:59:05,0,6,TRAILER,5950,"MAC TRAILER MFG, INC.",6826,MAC TRAILER MANUFACTURING,18288,MAC TRAILER MANUFACTURING,2006,,,6,UNITED STATES (USA),OHIO,ALLIANCE,,Commerce Street,61,Trailer,,,,,101,Other,,,53.000,No Frame,2,,
12,Florida,121940,1,1,3H3V532C*GT******,2021-09-08 14:59:05,0,6,TRAILER,14282,"HYUNDAI DE MEXICO, S.A. DE C.V.",4876,HYUNDAI TRANSLEAD TRAILERS,11496,Hyundai Translead Trailers,2016,,,12,MEXICO,BAJA CALIFORNIA,TIJUANA,,,61,Trailer,,,,,36,Van Trailer,,,53.000,Material: Aluminum/Steel,2,,
12,Florida,121955,1,1,1UJBJ0BR*K1******,2021-09-08 14:59:06,0,6,TRAILER,9892,"JAYCO, INC.",4516,JAYCO,29071,Jayco,2019,,,6,UNITED STATES (USA),INDIANA,MIDDLEBURY,,,61,Trailer,,,,,80,Rec. Trailer,14,Bumper Pull,33.990,Travel Trailer,2,3,Tandem
12,Florida,122028,1,1,1UYFS248*7A******,2021-09-08 14:59:06,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2007,,,6,UNITED STATES (USA),ALABAMA,ENTERPRISE,,,61,Trailer,,,,,6,Flat Bed Trailer/Platform Trailer,4,Straight Semi/Semi Trailer,48.000,,2,,
12,Florida,122129,2,1,1UYVS253*L7******,2021-09-08 14:59:07,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2020,,,6,UNITED STATES (USA),VIRGINIA,GLADE SPRING,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
12,Florida,122138,1,1,4FPFB061*AG******,2021-09-08 14:59:07,0,6,TRAILER,1489,PACE AMERICAN OF GEORGIA INC.,2500,PACE AMERICAN,6324,Pace American Trailer,2010,,,6,UNITED STATES (USA),GEORGIA,,Pace American of Georgia,,,,10,"Class 1A: 3,000 lb or less (1,360 kg or less)",5,"Class 4: 14,001 - 16,000 lb (6,350 - 7,258 kg)",59,Van/Covered Cargo/Enclosed,,,6.000,"Length: 6 -20 FT; GVWR: 1000 - 16,000  (4 ,5,6.5 WIDE TRAILER )",1,,
12,Florida,122139,2,1,1GRAA062*5J******,2021-09-08 14:59:07,0,6,TRAILER,1073,GREAT DANE TRAILERS,520,GREAT DANE TRAILERS,13436,Great Dane Trailers,2005,,,6,UNITED STATES (USA),ARKANSAS,JONESBORO,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,Trailer Type = Dry Freight/ Reefer/ Insulated Van,2,,
12,Florida,122185,2,1,1GRAA062*SB******,2021-09-08 14:59:07,0,6,TRAILER,1073,GREAT DANE TRAILERS,520,GREAT DANE TRAILERS,13436,Great Dane Trailers,1995,,,6,UNITED STATES (USA),INDIANA,BRAZIL,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,Trailer Type = Dry Freight/ Reefer/ Insulated Van,2,,
12,Florida,122199,1,1,3H3V482C*JT******,2021-09-08 14:59:07,0,6,TRAILER,14282,"HYUNDAI DE MEXICO, S.A. DE C.V.",4876,HYUNDAI TRANSLEAD TRAILERS,11496,Hyundai Translead Trailers,2018,,,12,MEXICO,BAJA CALIFORNIA,TIJUANA,,,61,Trailer,,,,,36,Van Trailer,,,48.000,Material: Aluminum/Steel,2,,
